,hero_id,hero_name,hero_gender,hero_degree_centrality,hero_eigenvector_centrality
0,0,MERCURY,Male,0.004669260700389106,0.0031607521852590023
1,1,INFINITY II,Male,0.01914396887159533,0.02134637311459564
2,2,HARPOON,Male,0.014007782101167316,0.011688823506290918
3,3,MAGOG II,Male,0.004513618677042802,0.004867412184336164
4,4,"PENDRAGON, ARTHUR",Male,0.0014007782101167316,0.0014544358938186292
5,5,"HIBBERT, ELLEN",Female,0.002490272373540856,0.002061081304007403
6,6,"AYALA, MRS.",Male,0.0026459143968871595,0.0010238703490232683
7,7,TORPEDO III/BROCK JO,Male,0.03486381322957199,0.03488478289879813
8,8,RAPTURE/SISTER JOY,Female,0.0028015564202334632,0.002593106710532245
9,9,"DELGADO, LUZ",Male,0.0014007782101167316,0.0001621049011256964
10,10,RAGAR,Male,0.002957198443579767,0.001375803103619555
11,11,"QUINN, MIRANDA/M'RYN",Male,0.0020233463035019454,0.0016780172050361096
12,12,"LAVENDER, MAXINE",Male,0.0032684824902723736,0.0018356453039662722
13,13,RAVONNA LEXUS RENSLA,Male,0.011673151750972763,0.013563800970348651
14,14,RED SKULL/JOHANN SCH,Male,0.0396887159533074,0.028465680030417335
15,15,"BLACKWOOD, JENNY",Male,0.0007782101167315176,0.0004532839536686128
16,16,"DRISCOLL, MAYOR",Male,0.0014007782101167316,0.0004954669764464393
17,17,"HOSEK, BULL",Male,0.000622568093385214,0.00040427713230380385
18,18,LIZARD II,Male,0.0014007782101167316,0.0011365648216171717
19,19,BRIGHTWIND,Male,0.018677042801556423,0.016441053518344483
20,20,"BROWN, FRANK",Male,0.0038910505836575876,0.0032516458612590884
21,21,ADMIRAL PROTOCOL/,Male,0.007003891050583658,0.0027851081641867763
22,22,KREE CAPTAIN AMERICA,Male,0.0018677042801556422,0.0019223744005957156
23,23,NIMROD,Male,0.0001556420233463035,8.791919030828089e-05
24,24,HIGHNOTE/RAOUL HERNA,Female,0.006070038910505837,0.002768225781618297
25,25,NAZE,Male,0.009338521400778212,0.007923877575721152
26,26,ORPHAN-MAKER/PETER,Male,0.011361867704280156,0.011356364288368465
27,27,APE/,Female,0.009338521400778212,0.007566867347434034
28,28,"CASSADA, MICHAEL",Male,0.006381322957198444,0.006045977292173547
29,29,"CLARIS, SVEN",Male,0.0009338521400778211,0.0008426978483554216
30,30,SAGITTARIUS/HARLAN V,Male,0.013385214007782103,0.013242225925247018
31,31,"WATSON-PARKER, MARY ",Male,0.1245136186770428,0.04881569632921237
32,32,STAR HAMMER,Male,0.0032684824902723736,0.0032238864254001335
33,33,DAZZLER/BURTRAM WORT,Male,0.004669260700389106,0.004248530463770208
34,34,COSMIC MESSIAH,Male,0.0014007782101167316,0.0014187402635568534
35,35,MINISTER TOME,Male,0.0037354085603112843,0.0006248450719112224
36,36,WAR/ABRAHAM LINCOLN ,Male,0.0132295719844358,0.011402521092512065
37,37,CONQUEST/BRIDGET MAL,Female,0.006070038910505837,0.007803603752394657
38,38,BATTLEAXE/,Male,0.009182879377431907,0.004768127639906598
39,39,PRINCESS PYTHON/ZELD,Female,0.028638132295719848,0.023962947237348924
40,40,GLADIATRIX,Male,0.002957198443579767,0.0027148236007272517
41,41,BARKER,Male,0.0017120622568093386,0.001140730413288716
42,42,SHOCKER/HERMAN SCHUL,Male,0.022723735408560312,0.01765910357453237
43,43,WALLOP/WALTER DESTIN,Male,0.0031128404669260703,0.0038230372787461503
44,44,"LOPEZ, ANTONIO",Female,0.0014007782101167316,0.0007212931042640913
45,45,SHARD,Male,0.009805447470817122,0.005711147147375762
46,46,"HOGAN, VIRGINIA PEPP",Female,0.04046692607003891,0.024715769975535845
47,47,FLAMBE/,,0.002178988326848249,0.0017033463631818025
48,48,"GREY, ELAINE",Female,0.0221011673151751,0.019707420724831694
49,49,BLACK KNIGHT V STATU,Female,0.009338521400778212,0.010253612046406855
50,50,"HARROW, DR. JONAS",Male,0.004513618677042802,0.003205796463529829
51,51,"CIRE, EZRA",Female,0.0028015564202334632,0.0004740461358533163
52,52,"BERGER, PROF.",Female,0.004513618677042802,0.0014717776480535605
53,53,MARCHALLA II,Male,0.00046692607003891054,0.00012033732575010008
54,54,PIROUETTE/JOBETH,Female,0.0062256809338521405,0.007164659215610961
55,55,EBONY,,0.0221011673151751,0.02537020954897172
56,56,"WEIN, LEN",Male,0.010739299610894943,0.010075828754701727
57,57,UNA,Female,0.0015564202334630351,0.0006252952905894081
58,58,HELIUM,,0.0034241245136186773,0.0013097403364003006
59,59,KRANG II,Male,0.0010894941634241246,0.000273332416857409
60,60,BLOOD-TIDE,Male,0.000311284046692607,5.163799352824245e-05
61,61,BUTCH,Male,0.013540856031128406,0.012068051333820658
62,62,VAPOR,Female,0.027237354085603113,0.02387846357912528
63,63,"STAR, JOAN",Female,0.0026459143968871595,0.0013103417841695871
64,64,THUNDERBIRD III/NEAL,Male,0.02350194552529183,0.022629393730482342
65,65,KARMA/XI'AN COY MANH,Female,0.029571984435797668,0.026820940635138558
66,66,AGON,Male,0.0015564202334630351,0.0015872534023362386
67,67,"STORM, SUE | TIMESLI",Male,0.0038910505836575876,0.003653634768545505
68,68,KARNAK | MUTANT X-VE,Female,0.004202334630350195,0.00033268149355761224
69,69,"SCRIPPS, LAHOYA",Female,0.0010894941634241246,0.0005208849061867901
70,70,"CHAMBERS, MR.",Male,0.006692607003891051,0.006344416664266191
71,71,BLURRY,Male,0.004357976653696498,0.001395177097564331
72,72,"EDGERTON, GAYLE",Female,0.010583657587548638,0.009926740724042902
73,73,MINOR DOMO,Male,0.002490272373540856,0.004399143551439007
74,74,DR. MIDAS/,Female,0.0014007782101167316,0.000423852517267257
75,75,"REEVES, MAJOR",Male,0.0020233463035019454,0.002412483717796223
76,76,ARKON,Male,0.014319066147859924,0.016558637139544512
77,77,LEFT HAND/DIEGO CASS,Male,0.0062256809338521405,0.004802591481817206
78,78,"SHOOTER, JIM",Male,0.0056031128404669265,0.006678629347382589
79,79,NAMORITA DOPPELGANGE,Male,0.01556420233463035,0.022587444892838943
80,80,KNOCKABOUT/,Male,0.0028015564202334632,0.0012290331030884664
81,81,THING/BENJAMIN J. GR,Male,0.2203891050583658,0.10078249100850435
82,82,"MUNSON, CLAUDIA",Male,0.002178988326848249,0.0009435719880479564
83,83,NEKRA/ADRIENNE HATRO,Male,0.013385214007782103,0.01403731269228709
84,84,A,Female,0.001245136186770428,0.001496922188950284
85,85,RAKSOR [SKRULL],Male,0.007315175097276265,0.01009131709274811
86,86,ERISHKIGEL II/HOLLY ,Male,0.01463035019455253,0.01630449843771936
87,87,"FISHER, PROF. FRANCE",Male,0.0015564202334630351,0.0010244166580660784
88,88,SCORPION/MACDONALD G,Male,0.019455252918287938,0.015298377906156334
89,89,LONGBOW/AMELIA GREER,Female,0.003579766536964981,0.002174121384282711
90,90,MISS LOCKE,Female,0.012295719844357978,0.01144136314459063
91,91,PRIMUS II,Male,0.002490272373540856,0.002129638295885545
92,92,GUNTHAR II,Male,0.008249027237354087,0.009592204175493701
93,93,"MAXWELL, MORRIS",Male,0.005136186770428016,0.0025235275259923194
94,94,BARON ZEBEK,Male,0.0026459143968871595,0.0006147830604549619
95,95,"WAGNER, ERNIE WHACK ",Male,0.0017120622568093386,0.0009033549820563647
96,96,GHOST GIRL/,Male,0.0020233463035019454,0.0011550612273381288
97,97,XIANDU,Male,0.002490272373540856,0.002369952618272763
98,98,IRON GIANT MAN | MUT,Male,0.002334630350194553,0.00032039309289694814
99,99,"HORTON, DOUGIE",Male,0.0010894941634241246,0.0011300488747029512
100,100,MOONDRAGON DOPPELGAN,,0.012295719844357978,0.01745603488401163
101,101,FALCONA [INHUMAN],Male,0.004513618677042802,0.004785657437494544
102,102,ANNALEE,Female,0.007470817120622569,0.007041959373623366
103,103,COBALT II,Male,0.0026459143968871595,0.002782332980273013
104,104,"MUTO, JUNZO",Male,0.007626459143968872,0.009391999538752596
105,105,STRANGLEHOLD,Male,0.003579766536964981,0.0013054687661239784
106,106,"BANTOCK, LT. OLIVER",Male,0.002490272373540856,0.0010353671428622838
107,107,BIG BEN/,Male,0.004202334630350195,0.002264381947530862
108,108,BLACK DEATH/DR. IVAN,Female,0.0009338521400778211,0.0016815771556958046
109,109,AMAZON,Female,0.0032684824902723736,0.0025880112217640666
110,110,LUPO,Male,0.012140077821011674,0.013061506621971286
111,111,"HORTON, PROFESSOR PH",Male,0.008560311284046693,0.009878184305047945
112,112,MYCROFT,Male,0.0009338521400778211,0.0008301051207010158
113,113,CATSEYE/SHARON SMITH,Male,0.012140077821011674,0.0091678831671599
114,114,APOSTATE,Female,0.002178988326848249,0.002074669656632003
115,115,GANTRY,Male,0.0026459143968871595,0.0016072486864345363
116,116,"TILBY, TRISH/PATRICI",Female,0.04653696498054475,0.03406976415354733
117,117,"MURDOCK, MATT | TIME",Male,0.0038910505836575876,0.003653634768545505
118,118,"HOCHBERG, ROGER",Male,0.007937743190661479,0.00490097881938521
